Sample ID,Pingo Site,Pingo Location,d13C-CH4 (? vpdb),d13C-DIC (? vpdb),CH4 (mg/L),CO2 (mg/L),pH,ORP (mV),O2 (mg/L),dO-H2O,dD-H2O,Cl (mg/L),NO3-N (mg/L),SO4 (mg/L),HCO3 (mg/L),NH4 (mg/L),Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),Fe (mg/L),Mn (mg/L),Sr (mg/L),Si (mg/L),
22/04/2015,Innerhytte Pingo,78.18980 N; 16.34815 E,-49.7,n.d.,42.73,870.09,6.88,-20.7,0.22,-13.3,-95.2,1486,b.d,17.4,3874.8,2.33,2360.9,5.30,17.74,28.12,0.58,0.00,1.93,n.d.,
,,,,,,,,,,,,,,,,,,,,,,,,,
 03/10/2017,F›rstehytte Pingo,78.20546 N; 15.95369 E,-64.2,2.48,11.85,641.26,7.1,-38.1,0.1,-14.45,-103.78,1083,b.d,9.0,3615.2,0.90,2013.9,10.42,13.40,20.25,0.19,0.02,3.71,3.45,
 13/09/2017,F›rstehytte Pingo,78.20546 N; 15.95369 E,-64.7,2.73,16.51,770.35,7.55,-217.9,0.00,-14.41,-103.4,1065,b.d,6.4,3586.7,0.71,1994.3,9.93,13.21,19.85,0.97,0.02,3.28,2.98,
 19/04/2017,F›rstehytte Pingo,78.20546 N; 15.95369 E,-48.2,1.73,15.32,294.17,7.35,-195.2,1.11,-14.4,-106.5,1105,b.d,11.3,2430.2,1.06,1584.5,5.89,13.36,20.43,1.01,0.06,4.23,3.92,
 15/04/2017,F›rstehytte Pingo,78.20546 N; 15.95369 E,-52.3,2.42,15.14,251.76,7.34,-180.3,0.00,-15.0,-106.0,1126,b.d,12.1,2393.5,1.37,1580.3,7.41,15.16,20.13,1.00,0.07,4.01,4.00,
 16/3/2017,F›rstehytte Pingo,78.20546 N; 15.95369 E,-54.0,2.39,14.02,207.64,7.35,-140.1,0.34,-14.8,-105.3,1067,b.d,15.6,2363.3,0.76,1535.9,5.43,13.68,21.05,0.99,0.08,3.93,3.72,
21/04/2016,F›rstehytte Pingo,78.20546 N; 15.95369 E,-67.4,n.d.,18.08,368.41,7.31,-238,0.49,-15.7,-110.3,1058,0.03,48.5,4178.1,1.18,2192.4,5.54,21.57,40.65,0.65,0.04,4.38,3.82,
12/04/2016,F›rstehytte Pingo,78.20546 N; 15.95369 E,-55.3,n.d.,14.10,448.18,7.2,-199,0.30,-14.7,-104.6,1099,0.15,63.7,4129.0,1.14,2206.4,5.76,21.52,41.97,0.58,0.07,4.24,3.90,
09/04/2016,F›rstehytte Pingo,78.20546 N; 15.95369 E,-56.1,n.d.,16.61,416.95,7.21,-191.8,0.31,-14.7,-104.5,1096,0.10,59.3,3870.4,0.97,2105.8,5.69,21.60,40.88,0.43,0.07,4.57,3.86,
10/05/2015,F›rstehytte Pingo,78.20546 N; 15.95369 E,-67.1,n.d.,13.35,464.11,7.81,-202,0.90,-15.7,-111.2,1100,b.d,35.0,4542.4,1.12,2336.1,10.59,23.81,30.81,0.74,0.13,2.45,2.49,
23/04/2014,F›rstehytte Pingo,78.20546 N; 15.95369 E,n.d.,n.d.,35.67,733.02,7.25,-212.2,0.60,-14.4,-101.6,1100,b.d,53.9,7562.5,n.d.,3429.9,11.999,25.75,39.58,0.33,0.01,n.d.,n.d.,
,,,,,,,,,,,,,,,,,,,,,,,,,
28/09/2017,Lagoon Pingo,78.23957 N; 15.75470 E,-70.7,-8.4,5.99,110.33,7.69,-34.6,0.13,-14.49,-101.5,524,0.07,99.4,3720.0,2.43,1694.9,35.4,29.4,11.2,0.25,0.02,1.14,2.69,
 24/08/2017,Lagoon Pingo,78.23957 N; 15.75470 E,-69.8,n.d.,6.13,174.78,7.70,-242.7,0.13,-14.35,-101.8,674,b.d,119.2,3766.2,1.77,1806.0,28.1,38.4,12.8,0.02,0.02,1.46,2.61,
 19/04/2017,Lagoon Pingo,78.23957 N; 15.75470 E,-55.6,n.d.,9.5,73.39,7.90,-229.1,2.44,-15.1,-107.5,392,b.d,120.7,3541.3,2.38,1559.0,25.4,28.1,12.9,0.15,0.03,1.64,3.94,
 15/04/2017,Lagoon Pingo,78.23957 N; 15.75470 E,-48.3,n.d.,6.3,62.49,8.05,-202.2,0.00,-15.2,-108.0,418,b.d,128.2,3482.1,2.28,1554.1,26.3,29.3,13.3,0.06,0.05,1.49,4.16,
 16/3/2017,Lagoon Pingo,78.23957 N; 15.75470 E,-62.0,n.d.,9.631,74.29,7.71,-180.9,1.71,-15.5,-107.7,396,b.d,114.5,2341.0,2.23,1127.9,19.7,21.0,9.2,0.10,0.03,0.99,3.97,
10/04/2016,Lagoon Pingo,78.23957 N; 15.75470 E,-66.8,n.d.,14.48,162.38,7.94,-206.7,0.48,-15.2,-106.4,541,0.05,247.7,5251.2,2.62,2256.6,39.2,63.2,38.2,0.21,0.12,1.31,4.20,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
